honzi,jyutping,frequency
實詞,sat6ci4,3
抝柴,aau3caai4,1
土木工程,tou2muk6gung1cing4,1970
北角循道學校,bak1gok3ceon4dou6hok6haau6,0
借古喻今,ze3gu2jyu6gam1,11
坳背嶺,aau3bui3leng5,0
想來,soeng2loi4,1953
嬌紅,giu1hung4,6
一百三十七,jat1baak3saam1sap6cat1,0
地鄰,dei6leon4,6
審定本,sam2ding6bun2,1
僵卧,goeng1ngo6,5
傳聲筒,cyun4sing1tung2,230
唔低,m4dai1,1225
勁到,ging6dou3,2585
古書,gu2syu1,545
二百零六,ji6baak3ling4luk6,0
徇私,seon1si1,348
小女,siu2neoi2,3313
合得嚟,hap6dak1lai4,8
光芒萬丈,gwong1mong4maan6zoeng6,26
南丫,naam4aa1,263
一年到頭,jat1nin4dou3tau4,16
學府,hok6fu2,2229
對不起,deoi3bat1hei2,8515
引敍,jan5zeoi6,1
孤孀,gu1soeng1,2
以老賣老,ji5lou5maai6lou5,29
佛祖,fat6zou2,1692
屋企地址,uk1kei2dei6zi2,30
壁畫,bik1waa2,1687
勢不可擋,sai3bat1ho2dong2,155
不外乎,bat1ngoi6fu4,3843
大祭司,daai6zai3si1,59
刨冰,paau4bing1,407
左翼,zo2jik6,10162
大要,daai6jiu3,1401
侷限,guk6haan6,5354
工頭,gung1tau2,463
天陰,tin1jam1,842
千鹼基對,cin1gaan2gei1deoi3,1
初速度,co1cuk1dou6,1
好色,hou3sik1,1831
南運路,naam4wan6lou6,16
恰,hap1,26665
怪訝,gwaai3ngaa6,1
三千三百萬,saam1cin1saam1baak3maan6,0
交情,gaau1cing4,2532
手牌,sau2paai2,36
吹一輪水,ceoi1jat1leon4seoi2,4
乾煸,gon1bin1,12
廣善街,gwong2sin6gaai1,0
委以重任,wai2ji5zung6jam6,49
冠脈,gun1mak6,6
中港澳,zung1gong2ou3,82
小試牛刀,siu2si3ngau4dou1,453
啟用,kai2jung6,5924
入籠,jap6lung4,392
工行,gung1hong2,305
作祟,zok3seoi6,1335
主角,zyu2gok3,86003
天方夜譚,tin1fong1je6taam4,1449
南冰洋,naam4bing1joeng4,22
個嘢壞咗,go3je5waai6zo2,6
大潭水塘道,daai6taam4seoi2tong4dou6,0
嘉應子,gaa1jing3zi2,9
口疏,hau2so1,66
微管蛋白,mei4gun2daan2baak6,4
交棒,gaau1paang5,1219
多到,do1dou3,2518
不應,bat1jing1,1610
嫻雅,haan4ngaa1,11
前途無量,cin4tou4mou4loeng6,11
唔覺,m4gok3,8330
多明尼加共和國,do1ming4nei4gaa1gung6wo4gwok3,1
弊喇,bai6laa3,8
帳肚,zoeng3tou5,1
冤住,jyun1zyu6,2
山泥傾瀉,saan1nai4king1se3,1480
䬣,hat1,1
勤儉持家,gim6kan4ci4gaa1,10
天琴星座,tin1kam4sing1zo6,1
二百九十七,ji6baak3gau2sap6cat1,0
十進位法,sap6zeon3wai2faat3,1
冥思苦索,ming5si1fu2sok3,1
地心吸力,dei6sam1kap1lik6,1259
劍術,gim3seot6,644
